Word_ID	Form	Cognate_set_ID	Segments	Alignment	Doubt	Cognate_detection_method	Cognate_source	Alignment_method	Alignment_source
367	lɔk⁵⁵	36	l ɔ k ⁵⁵	l ɔ k ⁵⁵		expert	Hill2017	LingPy:SCA	
369	noʔ²¹	36	n o ʔ ²¹	n o ʔ ²¹		expert	Hill2017	LingPy:SCA	
370	naʔ³¹	36	n a ʔ ³¹	n a ʔ ³¹		expert	Hill2017	LingPy:SCA	
4467	xai⁵⁵	670	x a i ⁵⁵	x - a i ⁵⁵		expert	Hill2017	LingPy:SCA	
373	nɔːʔ³¹	36	n ɔː ʔ ³¹	n ɔː ʔ ³¹		expert	Hill2017	LingPy:SCA	
374	nɔʔ³¹	36	n ɔ ʔ ³¹	n ɔ ʔ ³¹		expert	Hill2017	LingPy:SCA	
375	nɔʔ⁵⁵	36	n ɔ ʔ ⁵⁵	n ɔ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
4472	tʃhə⁵⁵	459	tʃʰ ə ⁵⁵	tʃʰ ə ⁵⁵		expert	Hill2017	LingPy:SCA	
5524	ŋɑ⁵⁵	503	ŋ ɑ ⁵⁵	ŋ ɑ ⁵⁵		expert	Hill2017	LingPy:SCA	
4475	xjɛ³³	670	x j ɛ ³³	x j ɛ - ³³		expert	Hill2017	LingPy:SCA	
4476	tʃhɛ³¹	459	tʃʰ ɛ ³¹	tʃʰ ɛ ³¹		expert	Hill2017	LingPy:SCA	
4478	xai⁵⁵	670	x a i ⁵⁵	x - a i ⁵⁵		expert	Hill2017	LingPy:SCA	
383	sui³⁵	238	s u i ³⁵	s - u i ³⁵		expert	Hill2017	LingPy:SCA	
389	sa³⁵	238	s a ³⁵	s - a - ³⁵		expert	Hill2017	LingPy:SCA	
1039	xui⁵⁵	632	x u i ⁵⁵	x u i ⁵⁵		expert	Hill2017	LingPy:SCA	
406	xʐauʔ³⁵	666	x ʐ a u ʔ ³⁵	x ʐ a u ʔ ³⁵		expert	Hill2017	LingPy:SCA	
407	khjui²¹	666	kʰ j u i ²¹	kʰ j u i - ²¹		expert	Hill2017	LingPy:SCA	
408	khju³⁵	666	kʰ j u ³⁵	kʰ j - u - ³⁵		expert	Hill2017	LingPy:SCA	
409	khjaːu⁵³	666	kʰ j aː u ⁵³	kʰ j aː u - ⁵³		expert	Hill2017	LingPy:SCA	
411	khjuk⁵⁵	666	kʰ j u k ⁵⁵	kʰ j - u k ⁵⁵		expert	Hill2017	LingPy:SCA	
1514	sə̱kjo³¹	509	s ə̰ k + j o ³¹	s ə̰ k + j o ³¹		expert	Hill2017	LingPy:SCA	
3151	tʃu̱m³⁵	100	tʃ ṵ m ³⁵	tʃ ṵ m ³⁵		expert	Hill2017	LingPy:SCA	
4524	sum³¹	477	s u m ³¹	s u m ³¹		expert	Hill2017	LingPy:SCA	
4527	sum²¹	477	s u m ²¹	s u m ²¹		expert	Hill2017	LingPy:SCA	
4529	sam⁵⁵	477	s a m ⁵⁵	s a m ⁵⁵		expert	Hill2017	LingPy:SCA	
4532	sɔm⁵⁵	477	s ɔ m ⁵⁵	s ɔ m ⁵⁵		expert	Hill2017	LingPy:SCA	
