ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
1589,1589,567,,,
1590,1590,567,,,
1592,1592,567,,,
1604,1604,742,,,
1605,1605,1167,,,
1606,1606,1167,,,
1608,1608,1167,,,
1609,1609,1167,,,
1610,1610,742,,,
4365,4365,523,,,
2236,2236,271,,,
955,955,171,,,
2237,2237,271,,,
958,958,171,,,
1655,1655,1169,,,
1656,1656,1169,,,
1659,1659,1169,,,
1660,1660,1169,,,
1661,1661,1169,,,
1667,1667,230,,,
5511,5511,1137,,,
1669,1669,1170,,,
5057,5057,491,,,
1674,1674,1170,,,
1675,1675,1170,,,
962,962,171,,,
1684,1684,625,,,
1686,1686,625,,,
1687,1687,625,,,
5060,5060,492,,,
1690,1690,625,,,
1691,1691,625,,,
1692,1692,625,,,
6527,6527,179,,,
1714,1714,1173,,,
3699,3699,37,,,
1717,1717,144,,,
1718,1718,144,,,
1720,1720,144,,,
1722,1722,144,,,
1724,1724,1174,,,
1726,1726,145,,,
1653,1653,1169,,,
1728,1728,145,,,
1730,1730,145,,,
1734,1734,145,,,
1735,1735,145,,,
1737,1737,145,,,
5658,5658,430,,,
1746,1746,238,,,
1752,1752,238,,,
1754,1754,238,,,
7513,7513,0,,,
3025,3025,374,,,
1773,1773,1175,,,
1776,1776,1176,,,
1778,1778,1176,,,
7123,7123,0,,,
1782,1782,1176,,,
6441,6441,186,,,
1784,1784,1176,,,
1787,1787,1175,,,
981,981,1153,,,
3031,3031,374,,,
1805,1805,1177,,,
1806,1806,1177,,,
2349,2349,808,,,
1810,1810,1177,,,
1812,1812,1177,,,
1815,1815,1177,,,
1819,1819,246,,,
1822,1822,246,,,
1825,1825,246,,,
1830,1830,246,,,
1833,1833,246,,,
1671,1671,1170,,,
1836,1836,246,,,
1841,1841,688,,,
1843,1843,688,,,
1844,1844,688,,,
1847,1847,688,,,
1848,1848,688,,,
1849,1849,688,,,
1853,1853,705,,,
1856,1856,1179,,,
1858,1858,1179,,,
1860,1860,1179,,,
1861,1861,1179,,,
1863,1863,705,,,
6455,6455,225,,,
1677,1677,230,,,
6456,6456,117,,,
6609,6609,231,,,
6457,6457,189,,,
1889,1889,751,,,
1890,1890,749,,,
1891,1891,755,,,
1892,1892,755,,,
1893,1893,755,,,
1894,1894,751,,,
3732,3732,938,,,
7156,7156,0,,,
1918,1918,770,,,
1921,1921,775,,,
1923,1923,775,,,
1926,1926,775,,,
1928,1928,775,,,
5103,5103,500,,,
3058,3058,833,,,
1012,1012,174,,,
5529,5529,341,,,
1986,1986,1183,,,
1990,1990,1183,,,
1015,1015,174,,,
1996,1996,249,,,
1998,1998,249,,,
1999,1999,249,,,
2002,2002,249,,,
2003,2003,249,,,
1017,1017,174,,,
2010,2010,251,,,
2012,2012,251,,,
2013,2013,251,,,
2016,2016,251,,,
2017,2017,251,,,
2018,2018,251,,,
3067,3067,833,,,
6123,6123,41,,,
6124,6124,42,,,
6125,6125,38,,,
6126,6126,43,,,
6127,6127,46,,,
6128,6128,55,,,
6129,6129,56,,,
6130,6130,59,,,
6131,6131,60,,,
6132,6132,65,,,
6133,6133,66,,,
6134,6134,68,,,
6135,6135,73,,,
6136,6136,75,,,
6137,6137,19,,,
6138,6138,77,,,
6140,6140,80,,,
6141,6141,82,,,
6142,6142,86,,,
6143,6143,93,,,
6144,6144,94,,,
