ID	Language_name	Language_ID	Parameter_name	Parameter_ID	Value	Form	Segments	Motivation_structure	Source	Comment
374	Maru	maru1249	black	163	nɔʔ³¹  | 1005.31	nɔʔ³¹	n ɔ ʔ ³¹	black	Huang1992,Matisoff2015	
375	Xiandao	xian1249	black	163	nɔʔ⁵⁵  | 1005.29	nɔʔ⁵⁵	n ɔ ʔ ⁵⁵	black	Huang1992,Matisoff2015	
4472	Bola	pela1242	this	1214	tʃhə⁵⁵  | 0942.32	tʃhə⁵⁵	tʃʰ ə ⁵⁵	this	Huang1992,Matisoff2015	
5524	Rangoon	nucl1310	five	493		ŋɑ⁵⁵	ŋ ɑ ⁵⁵	five	Huang1992,Matisoff2015	
4475	Lashi	lash1242	this	1214	xjɛ³³  | 0942.33	xjɛ³³	x j ɛ ³³	this	Huang1992,Matisoff2015	
4476	Maru	maru1249	this	1214	tʃhɛ³¹  | 0942.31	tʃhɛ³¹	tʃʰ ɛ ³¹		Huang1992,Matisoff2015	
4478	Xiandao	xian1249	this	1214	xai⁵⁵  | 0942.29	xai⁵⁵	x a i ⁵⁵	this-1	Huang1992,Matisoff2015	
383	Bola	pela1242	the blood	946	sui³⁵  | 0129.32	sui³⁵	s u i ³⁵	blood	Huang1992,Matisoff2015	
7105	Old_Burmese	oldb1235	black	163		nak	n a k	black	Okell1971,Luce1985,Nishi1999	
389	Maru	maru1249	the blood	946	sa³⁵  | 0129.31	sa³⁵	s a ³⁵		Huang1992,Matisoff2015	
406	Achang_Longchuan	long1373	to blow (of wind)	175	xʐauʔ³⁵  | 1738.28	xʐauʔ³⁵	x ʐ a u ʔ ³⁵		Huang1992,Matisoff2015	
407	Atsi	zaiw1240	to blow (of wind)	175	khjui²¹  | 1738.30	khjui²¹	kʰ j u i ²¹	blow-intr-2	Huang1992,Matisoff2015	
408	Bola	pela1242	to blow (of wind)	175	khju³⁵  | 1738.32	khju³⁵	kʰ j u ³⁵	blow-2	Huang1992,Matisoff2015	
409	Lashi	lash1242	to blow (of wind)	175	khjaːu⁵³  | 1738.33	khjaːu⁵³	kʰ j aː u ⁵³		Huang1992,Matisoff2015	
411	Maru	maru1249	to blow (of wind)	175	khjuk⁵⁵  | 1738.31	khjuk⁵⁵	kʰ j u k ⁵⁵	blow	Huang1992,Matisoff2015	
1514	Lashi	lash1242	the forest	420	sə̱kjo³¹  | 0050.33	sə̱kjo³¹	s ə̰ k + j o ³¹	tree hundred	Huang1992,Matisoff2015	
3151	Maru	maru1249	to push	1452	tʃu̱m³⁵  | 1689.31	tʃu̱m³⁵	tʃ ṵ m ³⁵		Huang1992,Matisoff2015	
4524	Achang_Longchuan	long1373	three	492	sum³¹  | 0799.28	sum³¹	s u m ³¹	three	Huang1992,Matisoff2015	
4527	Atsi	zaiw1240	three	492	sum²¹  | 0799.30	sum²¹	s u m ²¹	three	Huang1992,Matisoff2015	
