ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
5636,rangoon,1436,ɑ⁵³jɑ⁵⁵pʰjɑuʔ⁴,ɑ ⁵³ + j ɑ ⁵⁵ + pʰ j ɑ u ʔ ⁴,bad concept,,
5638,rangoon,667,lɑ̃⁵⁵,l ɑ̃ ∼ ⁵⁵,,,
5639,rangoon,189,ɑ⁵³mwe⁵⁵,ɑ ⁵³ + m w e ⁵⁵,,,
5640,rangoon,1498,n̥,n̥,,,
5642,rangoon,319,jɛʔ⁴,j ɛ ʔ ⁴,,,
5645,rangoon,1483,ko⁵⁵,k o ⁵⁵,,,
5650,rangoon,1287,e⁵⁵,e ⁵⁵,bad concept,,
1555,achanglongchuan,503,phɔ³¹,pʰ ɔ ³¹,,,
5652,rangoon,1251,bɑiʔ⁴,b ɑ i ʔ ⁴,,,
5653,rangoon,1274,shɑ⁵⁵,sʰ ɑ ⁵⁵,,,
1558,bola,503,pa̱³⁵,p a̰ ³⁵,,,
5656,rangoon,98,m̥ɑ̃²²tθɑ⁵³m̥jɑ⁵³,m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³,bad concept,,
1561,lashi,503,pɑ̱⁵⁵,p ɑ̰ ⁵⁵,,,
1562,maru,503,pɔ̱³⁵,p ɔ̰ ³⁵,,,
1563,xiandao,503,phă³¹cak³⁵,pʰ ă ³¹ + c a k ³⁵,,,
5660,rangoon,1856,pjɔ⁵³,p j ɔ ⁵³,,,
5662,rangoon,1252,ẽ²²,ẽ ∼ ²²,,,
5664,rangoon,1210,le⁵⁵,l e ⁵⁵,,,
5665,rangoon,1223,hnɑ⁵³lõ⁵⁵,n̥ ɑ ⁵³ + l õ ∼ ⁵⁵,,,
1571,atsi,1507,ʃi²¹,ʃ i ²¹,,,
1572,bola,1507,ʃɿ³⁵,ʃ ɿ ³⁵,,,
5669,rangoon,784,shi⁵⁵n̥ĩ⁵⁵,sʰ i ⁵⁵ + n̥ ĩ ∼ ⁵⁵,,,
1575,lashi,1507,ʃɿ⁵⁵,ʃ ɿ ⁵⁵,,,
1576,maru,1507,ʃi³⁵,ʃ i ³⁵,,,
1577,xiandao,1507,ʂɿ³¹,ʂ ɿ ³¹,,,
5674,rangoon,2026,shɑ̃²²,sʰ ɑ̃ ∼ ²²,,,
1581,achanglongchuan,1429,pʐəŋ³⁵,p ʐ ə ŋ ³⁵,,,
3311,atsi,2026,tʃhin⁵¹,tʃʰ i n ⁵¹,,,
1584,atsi,1429,pjiŋ⁵⁵,p j i ŋ ⁵⁵,,,
1586,bola,1429,pjaŋ³⁵,p j a ŋ ³⁵,,,
5683,rangoon,1172,piʔ⁴,p i ʔ ⁴,,,
1589,lashi,1429,pjəːŋ⁵⁵,p j əː ŋ ⁵⁵,,,
1590,maru,1429,pjaŋ⁵⁵,p j a ŋ ⁵⁵,,,
1592,xiandao,1429,pɯŋ³⁵,p ɯ ŋ ³⁵,,,
1604,achanglongchuan,1447,tsi³¹,ts i ³¹,,,
1605,atsi,1447,pji²¹,p j i ²¹,,,
1606,bola,1447,pi³¹,p i ³¹,,,
1608,lashi,1447,pjeːi³³,p j eː i ³³,,,
1609,maru,1447,pjik⁵⁵,p j i k ⁵⁵,,,
1610,xiandao,1447,tsi³¹,ts i ³¹,,,
4365,maru,1244,thau³¹,tʰ a u ³¹,,,
2236,lashi,624,nɔ̱ŋ⁵⁵,n ɔ̰ ŋ ⁵⁵,,,
955,achanglongchuan,2009,xui³¹,x u i ³¹,,,
2237,maru,624,nɔ̱ŋ⁵⁵,n ɔ̰ ŋ ⁵⁵,,,
958,bola,2009,khui³⁵,kʰ u i ³⁵,,,
1655,atsi,1035,ke⁵¹,k e ⁵¹,,,
1656,bola,1035,kai⁵⁵,k a i ⁵⁵,,,
1659,lashi,1035,kɛː³¹,k ɛː ³¹,,,
1660,maru,1035,kai³¹,k a i ³¹,,,
1661,xiandao,1035,cɛ⁵⁵,ɕ ɛ ⁵⁵,,,
1667,achanglongchuan,606,sa⁵⁵,s a ⁵⁵,,,
5511,rangoon,1531,ɑ⁵³kɑ̃i⁵⁵ɑ⁵³kʰɛʔ⁴,ɑ ⁵³ + k ɑ̃ i ∼ ⁵⁵ + ɑ ⁵³ + kʰ ɛ ʔ ⁴,,,
1669,atsi,606,na̱m²¹,n a̰ m ²¹,,,
5057,lashi,1199,mji³³,m j i ³³,,,
1674,lashi,606,ma̱n⁵⁵,m a̰ n ⁵⁵,,,
1675,maru,606,ma̱ŋ³⁵,m a̰ ŋ ³⁵,,,
962,maru,2009,lə̆³¹kha³⁵,l ə̆ ³¹ + kʰ a ³⁵,,,
1684,achanglongchuan,1425,ȵau⁵⁵,nʲ a u ⁵⁵,,,
1686,atsi,1425,ŋjui⁵¹,ŋ j u i ⁵¹,,,
1687,bola,1425,ŋjuŋ⁵⁵,ŋ j u ŋ ⁵⁵,,,
5060,xiandao,1199,ni⁵⁵mɔ³¹,n i ⁵⁵ + m ɔ ³¹,,,
1690,lashi,1425,ŋjaːu³¹,ŋ j aː u ³¹,,,
1691,maru,1425,ŋjuk³¹,ŋ j u k ³¹,,,
1692,xiandao,1425,ɲau⁵⁵,ɲ a u ⁵⁵,,,
6527,lashi,800,ta̱ŋ⁵⁵pou⁵⁵,t a̰ ŋ ⁵⁵ + p o u ⁵⁵,,,
1714,achanglongchuan,1040,u³¹mui³¹,u ³¹ + m u i ³¹,,,
3699,achanglongchuan,1645,ʑɔŋ³¹,ʑ ɔ ŋ ³¹,bad concept,,
1717,atsi,1040,u²¹tsham⁵¹,u ²¹ + tsʰ a m ⁵¹,,,
1718,bola,1040,tshɛ̃⁵⁵,tsʰ ɛ̃ ∼ ⁵⁵,,,
1720,lashi,1040,tsham³³,tsʰ a m ³³,,,
1722,maru,1040,tshɛ̃³¹,tsʰ ɛ̃ ∼ ³¹,,,
1724,xiandao,1040,u³¹,u ³¹,I suspect something is wrong or missing here,,
1726,achanglongchuan,189,a³¹mui³¹,a ³¹ + m u i ³¹,,,
1653,achanglongchuan,1035,tɕi⁵⁵,tɕ i ⁵⁵,,,
1728,atsi,189,ʃŏ²¹mau⁵⁵,ʃ ŏ ²¹ + m a u ⁵⁵,,,
1730,bola,189,ʃă³⁵mau³⁵,ʃ ă ³⁵ + m a u ³⁵,,,
1734,lashi,189,ʃŏ⁵⁵mou⁵⁵,ʃ ŏ ⁵⁵ + m o u ⁵⁵,,,
1735,maru,189,ʃɔ̆³⁵muk⁵⁵,ʃ ɔ̆ ³⁵ + m u k ⁵⁵,,,
1737,xiandao,189,mui³¹,m u i ³¹,,,
5658,rangoon,714,mjo⁵⁵si⁵³,m j o ⁵⁵ + s i ⁵³,,,
1746,bola,1277,laʔ³¹,l a ʔ ³¹,,,
1752,maru,1277,lɔʔ³¹,l ɔ ʔ ³¹,,,
1754,xiandao,1277,lɔʔ⁵⁵n̥au³¹,l ɔ ʔ ⁵⁵ + n̥ a u ³¹,,,
7513,oldburmese,1172,pac,p a ts,,,
3025,achanglongchuan,1337,oʔ⁵⁵,o ʔ ⁵⁵,,,
1773,achanglongchuan,1256,ni³¹kuaŋ³¹,n i ³¹ + k u a ŋ ³¹,,,
1776,atsi,1256,u²¹lu̱m²¹,u ²¹ + l ṵ m ²¹,,,
1778,bola,1256,u̱³⁵lam³¹,ṵ ³⁵ + l a m ³¹,,,
7123,oldburmese,493,ṅāḥ,ŋ a ⁵⁵,,,
1782,lashi,1256,wo̱⁵⁵lɔ̱m⁵³,w o̰ ⁵⁵ + l ɔ̰ m ⁵³,,,
6441,bola,762,və̆³¹kauŋ³¹,v ə̆ ³¹ + k a u ŋ ³¹,,,
1784,maru,1256,au³⁵lam³⁵,a u ³⁵ + l a m ³⁵,,,
1787,xiandao,1256,u³¹kɔŋ³¹,u ³¹ + k ɔ ŋ ³¹,,,
981,atsi,2374,ju̱p⁵⁵moʔ²¹,j ṵ p ⁵⁵ + m o ʔ ²¹,,,
3031,lashi,1337,vuʔ³¹,v u ʔ ³¹,,,
1805,achanglongchuan,1408,kʐua³¹,k ʐ u a ³¹,,,
1806,atsi,1408,vo⁵⁵kjo²¹,v o ⁵⁵ + k j o ²¹,,,
2349,lashi,319,jɔːʔ³¹,j ɔː ʔ ³¹,,,
1810,lashi,1408,jɔː⁵⁵kjɔː³³,j ɔː ⁵⁵ + k j ɔː ³³,,,
1812,maru,1408,ɣɔ⁵⁵kjɔ³⁵,ɣ ɔ ⁵⁵ + k j ɔ ³⁵,,,
1815,xiandao,1408,kʐɔ³¹,k ʐ ɔ ³¹,,,
1819,achanglongchuan,1223,ȵ̥a⁵⁵lum³¹,n̥ʲ a ⁵⁵ + l u m ³¹,,,
1822,atsi,1223,ni̱k⁵⁵lu̱m²¹,n ḭ k ⁵⁵ + l ṵ m ²¹,,,
1825,bola,1223,na̱k⁵⁵lam³¹,n a̰ k ⁵⁵ + l a m ³¹,,,
1830,lashi,1223,nə̱k⁵⁵lɔm³³,n ə̰ k ⁵⁵ + l ɔ m ³³,,,
1833,maru,1223,na̱k⁵⁵lam³⁵,n a̰ k ⁵⁵ + l a m ³⁵,,,
1671,bola,606,mɛ̱̃³⁵,m ɛ̰̃ ∼ ³⁵,,,
1836,xiandao,1223,n̥ɔʔ³¹lum³¹,n̥ ɔ ʔ ³¹ + l u m ³¹,,,
1841,achanglongchuan,1210,li³¹,l i ³¹,,,
1843,atsi,1210,lai²¹,l a i ²¹,,,
1844,bola,1210,li³¹,l i ³¹,,,
1847,lashi,1210,laːi³³,l aː i ³³,,,
1848,maru,1210,la³⁵,l a ³⁵,,,
1849,xiandao,1210,lai³¹,l a i ³¹,,,
1853,achanglongchuan,136,xai⁵⁵thɔʔ⁵⁵,x a i ⁵⁵ + tʰ ɔ ʔ ⁵⁵,bad concept,,
1856,atsi,136,xji⁵¹ma⁵⁵,x j i ⁵¹ + m a ⁵⁵,bad concept,,
1858,bola,136,tʃhə̆⁵⁵mɛ̃⁵⁵--,tʃʰ ə̆ ⁵⁵ + m ɛ̃ ∼ ⁵⁵,bad concept,,
1860,lashi,136,xjɛ³³mŏ³³,x j ɛ ³³ + m ŏ ³³,bad concept,,
1861,maru,136,tʃhɛ̆³¹mɛ³¹,tʃʰ ɛ̆ ³¹ + m ɛ ³¹,bad concept,,
1863,xiandao,136,xai⁵⁵thɔʔ⁵⁵,x a i ⁵⁵ + tʰ ɔ ʔ ⁵⁵,bad concept,,
6455,achanglongchuan,1295,tam⁵⁵,t a m ⁵⁵,,,
1677,xiandao,606,sa⁵⁵,s a ⁵⁵,,,
6456,bola,1329,nɛʔ³¹ma³⁵nɛʔ³¹,n ɛ ʔ ³¹ + m a ³⁵ + n ɛ ʔ ³¹,,,
6609,rangoon,341,tɑ̃²²sĩ²²,t ɑ̃ ∼ ²² + s ĩ ∼ ²²,,,
6457,atsi,846,lo²¹mo⁵⁵,l o ²¹ + m o ⁵⁵,,,
1889,achanglongchuan,602,sau⁵⁵,s a u ⁵⁵,bad concept,,
1890,atsi,602,xaʔ⁵⁵,x a ʔ ⁵⁵,bad concept,,
1891,bola,602,ŋja̱m³⁵,ŋ j a̰ m ³⁵,bad concept,,
1892,lashi,602,ŋju̱ːm⁵⁵,ŋ j ṵː m ⁵⁵,bad concept,,
1893,maru,602,ŋja̱m³⁵,ŋ j a̰ m ³⁵,bad concept,,
1894,xiandao,602,sau⁵⁵,s a u ⁵⁵,bad concept,,
3732,maru,1261,thu³¹,tʰ u ³¹,,,
7156,oldburmese,244,vai,w aj,,,
1918,achanglongchuan,1448,m̥ʐəʔ⁵⁵,m̥ ʐ ə ʔ ⁵⁵,bad concept,,
1921,atsi,1448,tsui²¹,ts u i ²¹,bad concept,,
1923,bola,1448,tsa̱p⁵⁵,ts a̰ p ⁵⁵,bad concept,,
1926,maru,1448,tsɔi³⁵,ts ɔ i ³⁵,bad concept,,
1928,xiandao,1448,tʂhop⁵⁵,ʈʂʰ o p ⁵⁵,bad concept,,
5103,xiandao,1257,a³¹tuŋ⁵⁵,a ³¹ + t u ŋ ⁵⁵,,,
3058,achanglongchuan,1413,tseʔ⁵⁵,ts e ʔ ⁵⁵,,,
1012,bola,1401,ʃauʔ⁵⁵,ʃ a u ʔ ⁵⁵,,,
5529,rangoon,1405,nɑ²²mi²²,n ɑ ²² + m i ²²,bad concept,,
1986,bola,1393,khju⁵⁵,kʰ j u ⁵⁵,,,
1990,maru,1393,khjuk³¹,kʰ j u k ³¹,,,
1015,lashi,1401,ʃuːk⁵⁵,ʃ uː k ⁵⁵,,,
1996,achanglongchuan,615,m̥ʐaŋ³¹,m̥ ʐ a ŋ ³¹,,,
