# Wordlist

# DATA
ID	COGID	POS	ALIGNMENT	CONCEPT	DOCULECT	ORIGINAL_CONCEPT	STEDT_SRCID	ORIGINAL_TAXNAME	ORIGINAL_ENTRY	MORPHEMES	NOTE	COGIDS	SOURCE	STEDT_GLOSS	CONCEPTICON_ID	STEDT_REFLEX	IPA	STEDT_CONCEPT	TOKENS	STEDT_RN	STEDT_ANALYSIS	STEDT_ID
4251	69	other	m̥ ʐ a ŋ ⁵⁵	high / tall	Xiandao	high / tall	0968.29	Achang (Xiandao) TBL	m̥ʐaŋ⁵⁵  | 0968.29	high		749	TBL		1265	m̥ʐaŋ⁵⁵	m̥ʐaŋ⁵⁵	high / tall	m̥ ʐ a ŋ ⁵⁵	394883	2597	8828
4245	69	other	m j ɔ̰̃ ∼ ⁵⁵	high / tall	Bola	high / tall	0968.32	Bola (Luxi) TBL	mjɔ̱̃⁵⁵  | 0968.32	high		749	TBL		1265	mjɔ̱̃⁵⁵	mjɔ̱̃⁵⁵	high / tall	m j ɔ̰̃ ∼ ⁵⁵	394886	2597	5245
4242	69	other	m̥ ʐ a ŋ ⁵⁵	high / tall	Achang_Longchuan	high / tall	0968.28	Achang (Longchuan) TBL	m̥ʐaŋ⁵⁵  | 0968.28	high		749	TBL		1265	m̥ʐaŋ⁵⁵	m̥ʐaŋ⁵⁵	high / tall	m̥ ʐ a ŋ ⁵⁵	394882	2597	8785
4244	69	other	m j a̰ ŋ ⁵¹	high / tall	Atsi	high / tall	0968.30	Atsi [Zaiwa] TBL	mja̱ŋ⁵¹  | 0968.30	high		749	TBL		1265	mja̱ŋ⁵¹	mja̱ŋ⁵¹	high / tall	m j a̰ ŋ ⁵¹	394884	2597	8982
4249	69	other	m j ɔ̃ ∼ ³¹	high / tall	Maru	high / tall	0968.31	Langsu (Luxi) TBL	mjɔ̃³¹  | 0968.31	high		749	TBL		1265	mjɔ̃³¹	mjɔ̃³¹	high / tall	m j ɔ̃ ∼ ³¹	394885	2597	8915
5498	69	other	m j ĩ - ⁵³	high / tall	Rangoon		0968.27			high		749	TBL		1265	mjĩ⁵³	mjĩ⁵³	high / tall	m j ĩ ∼ ⁵³	394881	2597	4311
#
6145	97		l̥ ɔ ³¹	late	Achang_Longchuan	late	1019.28	Achang (Longchuan)	l̥ɔ³¹	late		1259	TBL		477		l̥ɔ³¹		l̥ ɔ ³¹	36918	6231	5704
#
2299	839	other	l ɔ ʔ ³¹ + n a m ³¹ + p a - ³¹	left	Achang_Longchuan	left n/adv	0710.28	Achang (Longchuan) TBL	lɔʔ³¹ nam³¹ pa³¹  | 0710.28	hand left dir		345 40063 40064	TBL		244	lɔʔ³¹nam³¹pa³¹	lɔʔ³¹nam³¹pa³¹	left	l ɔ ʔ ³¹ + n a m ³¹ + p a ³¹	381551	695 10063 10064	5667
2301	839	other	l o ʔ ²¹ + p a̰ i ²¹	left	Atsi	left n/adv	0710.30	Atsi [Zaiwa] TBL	loʔ³¹ pa̱i²¹  | 0710.30	hand left		345 422	TBL		244	loʔ³¹pa̱i²¹	loʔ³¹pa̱i²¹	left	l o ʔ ²¹ + p a̰ i ²¹	381553	695 2154	8980
2303	839	other	l a ʔ ³¹ + k a̰ u ŋ ³⁵	left	Bola	left n/adv	0710.32	Bola (Luxi) TBL	laʔ³¹ ka̱uŋ³⁵  | 0710.32	hand left		345 40040	TBL		244	laʔ³¹ka̱uŋ³⁵	laʔ³¹ka̱uŋ³⁵	left	l a ʔ ³¹ + k a̰ u ŋ ³⁵	381555	695 10040	1130
2307	839	other	l ɔ ʔ ³¹ + p ḛ i ⁵⁵	left	Lashi	left n/adv	0710.33	Leqi (Luxi) TBL	lɔʔ³¹ pe̱i⁵⁵  | 0710.33	hand left		345 422	TBL		244	lɔʔ³¹pe̱i⁵⁵	lɔʔ³¹pe̱i⁵⁵	left	l ɔ ʔ ³¹ + p ḛ i ⁵⁵	381556	695 2154	4670
2310	839	other	l ɔ ʔ ⁵⁵ + x a ⁵⁵	left	Xiandao	left n/adv	0710.29	Achang (Xiandao) TBL	lɔʔ⁵⁵ xa⁵⁵  | 0710.29	hand left		345 40014	TBL		244	lɔʔ⁵⁵xa⁵⁵	lɔʔ⁵⁵xa⁵⁵	left	l ɔ ʔ ⁵⁵ + x a ⁵⁵	381552	695 10014	8826
5605	858	other	w ɛ - ⁵⁵	left	Rangoon		0710.27					420	TBL		244	wɛ⁵⁵	wɛ⁵⁵	left	w ɛ ⁵⁵	381550	2154	5903
5606	9	other	b ɛ - ²²	left	Rangoon		0710.27					419	TBL		244	bɛ²²	bɛ²²	left	b ɛ ²²	381579	2154	5903
#
